id,departamento,salario,idade
1,Vendas,9045.48,26
2,Diretoria,14330.62,24
3,Diretoria,9631.23,36
4,Marketing,3015.86,59
5,Diretoria,11036.26,28
6,RH,10840.2,46
7,Marketing,6040.56,36
8,TI,7670.12,50
9,Engenharia,10328.48,54
10,Engenharia,9414.69,32
11,TI,12542.59,40
12,Vendas,5506.77,59
13,Engenharia,13470.3,65
14,Marketing,4536.4,52
15,RH,10278.67,56
16,TI,11727.23,63
17,Marketing,4899.25,22
18,Vendas,10306.21,30
19,Vendas,13977.52,56
20,TI,7980.73,63
21,Diretoria,13598.92,21
22,RH,6144.48,31
23,Engenharia,4926.7,37
24,Engenharia,4539.29,40
25,RH,3809.01,38
26,TI,3625.73,21
27,Engenharia,10412.23,56
28,TI,10371.75,22
29,RH,14289.11,52
30,TI,14581.66,40
31,Diretoria,9821.67,50
32,TI,4720.13,31
33,Diretoria,12463.93,51
34,Diretoria,4994.4,59
35,TI,8190.35,57
36,Marketing,10383.58,25
37,TI,12702.43,22
38,RH,12145.21,39
39,Diretoria,7472.84,40
40,Diretoria,11160.11,39
41,TI,3231.65,48
42,Diretoria,3272.04,27
43,Vendas,13427.95,54
44,TI,9853.63,23
45,Vendas,14349.64,47
46,Vendas,13018.53,20
47,RH,10042.83,57
48,RH,5964.98,34
49,Marketing,13785.17,58
50,TI,8518.08,33
51,Engenharia,7375.3,37
52,Marketing,10463.9,56
53,Diretoria,14534.21,57
54,Diretoria,5980.18,46
55,Engenharia,9302.81,63
56,Marketing,13792.48,63
57,Engenharia,9687.57,39
58,Engenharia,14351.85,50
59,TI,13651.54,40
60,Marketing,14776.91,65
61,Diretoria,13572.97,61
62,TI,11769.89,30
63,RH,7344.43,38
64,Diretoria,4769.25,31
65,Diretoria,6606.75,53
66,Diretoria,13576.43,53
67,Vendas,7045.65,41
68,Vendas,7308.58,51
69,RH,9112.56,44
70,TI,8494.01,42
71,RH,13181.71,20
72,Marketing,8810.52,26
73,Engenharia,14756.96,56
74,Engenharia,9972.01,22
75,Vendas,3813.14,51
76,Engenharia,11009.31,52
77,Engenharia,8054.16,52
78,RH,9731.74,38
79,Diretoria,11618.89,43
